LineNumber Seconds Frequency,Hz
4771 2575,435 173,83405
4772 2575,984 173,83405
4773 2576,524 173,83401
4774 2577,066 173,83403
4775 2577,599 173,80681
4776 2578,133 173,00282
4777 2578,685 173,00204
4778 2579,234 173,00153
4779 2579,780 173,00114
4780 2580,312 172,99872
4781 2580,852 172,99872
4782 2581,390 172,99872
4783 2581,933 172,99873
4784 2582,482 172,99873
4785 2583,015 172,99873
4786 2583,558 172,99873
4787 2584,108 172,99870
4788 2584,654 172,99873
4789 2585,197 172,99876
4790 2585,742 172,99876
4791 2586,289 172,99876
4792 2586,840 172,99869
4793 2587,386 172,99866
4794 2587,933 172,99866
4795 2588,482 172,99858
4796 2589,020 172,99863
4797 2589,548 172,99861
4798 2590,078 172,99863
4799 2590,609 172,99866
4800 2591,153 172,17140
4801 2591,699 172,17139
4802 2592,247 172,17140
4803 2592,787 172,17140
4804 2593,312 172,17137
4805 2593,851 172,17139
4806 2594,401 172,17134
4807 2594,939 172,17134
4808 2595,475 172,17134
4809 2596,017 172,17134
4810 2596,553 172,17139
4811 2597,101 172,17137
4812 2597,647 172,17137
4813 2598,192 172,17134
4814 2598,718 172,17134
4815 2599,265 172,17134
4816 2599,801 172,17137
4817 2600,337 172,17136
4818 2600,877 172,17136
4819 2601,417 172,17136
4820 2601,962 172,17136
4821 2602,509 172,17137
4822 2603,061 172,17134
4823 2603,605 172,17134
4824 2604,151 171,35173
4825 2604,693 171,35175
4826 2605,242 171,35176
4827 2605,788 171,35176
4828 2606,340 171,35182
4829 2606,877 171,35182
4830 2607,410 171,35182
4831 2607,944 171,35179
4832 2608,496 171,35181
4833 2609,038 171,35176
4834 2609,583 171,35176
4835 2610,117 171,35175
4836 2610,667 171,35176
4837 2611,215 171,35176
4838 2611,757 171,35178
4839 2612,306 171,35175
4840 2612,847 171,35173
4841 2613,386 171,35176
4842 2613,934 171,35176
4843 2614,477 171,35175
4844 2615,025 171,35179
4845 2615,574 171,35184
4846 2616,124 171,33270
4847 2616,656 171,32919
4848 2617,194 170,54817
4849 2617,746 170,54663
4850 2618,295 170,54558
4851 2618,835 170,54492
4852 2619,385 170,54015
4853 2619,930 170,54012
4854 2620,475 170,54008
4855 2621,026 170,54007
4856 2621,570 170,54007
4857 2622,120 170,54005
4858 2622,667 170,53999
4859 2623,218 170,54001
4860 2623,755 170,54007
4861 2624,289 170,54007
4862 2624,829 170,54002
4863 2625,371 170,54002
4864 2625,909 170,54004
4865 2626,443 170,54004
4866 2626,979 170,54007
4867 2627,524 170,54004
4868 2628,070 170,54001
4869 2628,619 170,54001
4870 2629,156 170,54002
4871 2629,701 170,54007
4872 2630,239 169,73590
4873 2630,773 169,73592
4874 2631,327 169,73592
4875 2631,865 169,73592
4876 2632,396 169,73593
4877 2632,926 169,73596
4878 2633,462 169,73599
4879 2634,000 169,73599
4880 2634,534 169,73596
4881 2635,064 169,73595
4882 2635,608 169,73596
4883 2636,144 169,73596
4884 2636,682 169,73587
4885 2637,232 169,73590
4886 2637,765 169,73589
4887 2638,298 169,73587
4888 2638,832 169,73589
4889 2639,361 169,73589
4890 2639,894 169,73590
4891 2640,424 169,73592
4892 2640,960 169,73592
4893 2641,510 169,73593
4894 2642,056 169,73596
4895 2642,600 169,73598
4896 2643,147 168,93948
4897 2643,694 168,93950
4898 2644,239 168,93950
4899 2644,773 168,93950
4900 2645,317 168,93950
4901 2645,851 168,93948
4902 2646,399 168,93948
4903 2646,939 168,93947
4904 2647,475 168,93947
4905 2648,023 168,93947
4906 2648,575 168,93947
4907 2649,120 168,93947
4908 2649,668 168,93947
4909 2650,205 168,93944
4910 2650,740 168,93944
4911 2651,276 168,93947
4912 2651,824 168,93945
4913 2652,362 168,93944
4914 2652,900 168,93941
4915 2653,438 168,93936
4916 2653,976 168,93936
4917 2654,530 168,93044
4918 2655,066 168,92912
4919 2655,605 168,92696
4920 2656,141 168,16861
4921 2656,674 168,16547
4922 2657,209 168,16284
4923 2657,746 168,15022
4924 2658,282 168,15021
4925 2658,820 168,15021
4926 2659,359 168,15021
4927 2659,890 168,15022
4928 2660,436 168,15019
4929 2660,982 168,15021
4930 2661,519 168,15022
4931 2662,046 168,15024
4932 2662,580 168,15025
4933 2663,122 168,15025
4934 2663,662 168,15028
4935 2664,190 168,15030
4936 2664,726 168,15031
4937 2665,272 168,15036
4938 2665,812 168,15036
4939 2666,345 168,15034
4940 2666,878 168,15038
4941 2667,406 168,15038
4942 2667,943 168,15036
4943 2668,477 168,15036
4944 2669,017 168,11967
4945 2669,548 167,37027
4946 2670,087 167,36998
4947 2670,635 167,36977
4948 2671,172 167,36853
4949 2671,707 167,36848
4950 2672,247 167,36852
4951 2672,794 167,36847
4952 2673,338 167,36845
4953 2673,878 167,36847
4954 2674,418 167,36847
4955 2674,964 167,36847
4956 2675,510 167,36847
4957 2676,056 167,36848
4958 2676,604 167,36850
4959 2677,151 167,36850
4960 2677,698 167,36852
4961 2678,238 167,36858
4962 2678,773 167,36856
4963 2679,322 167,36850
4964 2679,864 167,36855
4965 2680,393 167,36855
4966 2680,922 167,36855
4967 2681,458 167,35072
4968 2681,991 167,34622
4969 2682,531 166,60287
4970 2683,066 166,60127
4971 2683,598 166,60030
4972 2684,132 166,59401
4973 2684,679 166,59393
4974 2685,222 166,59396
4975 2685,755 166,59399
4976 2686,289 166,59398
4977 2686,839 166,59395
4978 2687,386 166,59393
4979 2687,932 166,59392
4980 2688,470 166,59392
4981 2689,013 166,59393
4982 2689,554 166,59393
4983 2690,106 166,59395
4984 2690,644 166,59398
4985 2691,176 166,59396
4986 2691,714 166,59398
4987 2692,258 166,59399
4988 2692,797 166,59401
4989 2693,328 166,59399
4990 2693,866 166,59399
4991 2694,416 166,59401
4992 2694,964 166,59401
4993 2695,505 165,82660
4994 2696,054 165,82660
4995 2696,607 165,82660
4996 2697,147 165,82663
4997 2697,697 165,82658
4998 2698,239 165,82658
4999 2698,779 165,82657
5000 2699,312 165,82660
5001 2699,858 165,82660
5002 2700,404 165,82663
5003 2700,951 165,82661
5004 2701,485 165,82655
5005 2702,029 165,82655
5006 2702,573 165,82655
5007 2703,114 165,82655
5008 2703,644 165,82660
5009 2704,174 165,82655
5010 2704,708 165,82657
5011 2705,249 165,82657
5012 2705,785 165,82654
5013 2706,323 165,82655
5014 2706,866 165,82655
5015 2707,412 165,82655
5016 2707,957 165,82655
5017 2708,491 165,06631
5018 2709,039 165,06631
5019 2709,586 165,06631
5020 2710,139 165,06630
5021 2710,683 165,06631
5022 2711,218 165,06633
5023 2711,761 165,06631
5024 2712,301 165,06633
5025 2712,837 165,06630
5026 2713,389 165,06630
5027 2713,923 165,06633
5028 2714,461 165,06631
5029 2715,007 165,06631
5030 2715,551 165,06633
5031 2716,085 165,06631
5032 2716,639 165,06631
5033 2717,181 165,06630
5034 2717,732 165,06631
5035 2718,268 165,06633
5036 2718,798 165,06631
5037 2719,330 165,06630
5038 2719,872 165,06627
5039 2720,420 165,06624
5040 2720,955 165,06624
5041 2721,491 164,31273
5042 2722,044 164,31274
5043 2722,584 164,31276
5044 2723,121 164,31276
5045 2723,659 164,31273
5046 2724,196 164,31273
5047 2724,746 164,31276
5048 2725,290 164,31274
5049 2725,837 164,31276
5050 2726,377 164,31271
5051 2726,915 164,31271
5052 2727,464 164,31270
5053 2728,000 164,31274
5054 2728,533 164,31273
5055 2729,071 164,31271
5056 2729,620 164,31273
5057 2730,169 164,31274
5058 2730,710 164,31273
5059 2731,258 164,31273
5060 2731,809 164,31277
5061 2732,345 164,30836
5062 2732,879 164,30760
5063 2733,417 164,30678
5064 2733,959 164,30533
5065 2734,495 163,58772
5066 2735,033 163,58371
5067 2735,567 163,56627
5068 2736,105 163,56627
5069 2736,641 163,56628
5070 2737,172 163,56627
5071 2737,706 163,56625
5072 2738,246 163,56624
5073 2738,782 163,56624
5074 2739,321 163,56624
5075 2739,868 163,56619
5076 2740,420 163,56619
5077 2740,954 163,56622
5078 2741,495 163,56622
5079 2742,045 163,56624
5080 2742,586 163,56621
5081 2743,126 163,56624
5082 2743,661 163,56622
5083 2744,189 163,56622
5084 2744,733 163,56628
5085 2745,269 163,56302
5086 2745,810 163,56250
5087 2746,349 163,56187
5088 2746,897 163,56090
5089 2747,439 162,85033
5090 2747,980 162,82639
5091 2748,530 162,82640
5092 2749,064 162,82639
5093 2749,606 162,82635
5094 2750,143 162,82639
5095 2750,678 162,82642
5096 2751,218 162,82642
5097 2751,751 162,82640
5098 2752,287 162,82639
5099 2752,838 162,82639
5100 2753,377 162,82637
5101 2753,911 162,82634
5102 2754,438 162,82635
5103 2754,971 162,82635
5104 2755,507 162,82635
5105 2756,047 162,82635
5106 2756,585 162,82640
5107 2757,140 162,82637
5108 2757,673 162,82642
5109 2758,207 162,82643
5110 2758,734 162,82645
5111 2759,270 162,82645
5112 2759,799 162,82645
5113 2760,330 162,09331
5114 2760,874 162,09331
5115 2761,406 162,09331
5116 2761,946 162,09331
5117 2762,484 162,09331
5118 2763,023 162,09331
5119 2763,562 162,09331
5120 2764,100 162,09331
5121 2764,653 162,09331
5122 2765,201 162,09328
5123 2765,737 162,09329
5124 2766,273 162,09326
5125 2766,820 162,09331
5126 2767,372 162,09334
5127 2767,908 162,09332
5128 2768,445 162,09332
5129 2768,997 162,09329
5130 2769,544 162,09326
5131 2770,086 162,09323
5132 2770,632 162,09326
5133 2771,178 162,09325
5134 2771,708 162,09322
5135 2772,240 162,09322
5136 2772,771 162,09320
5137 2773,316 161,36667
5138 2773,846 161,36667
5139 2774,376 161,36668
5140 2774,906 161,36670
5141 2775,437 161,36673
5142 2775,983 161,36668
5143 2776,523 161,36665
5144 2777,066 161,36664
5145 2777,607 161,36662
5146 2778,149 161,36664
5147 2778,691 161,36662
5148 2779,224 161,36665
5149 2779,776 161,36665
5150 2780,316 161,36664
5151 2780,852 161,36667
5152 2781,398 161,36667
5153 2781,948 161,36668
5154 2782,497 161,36673
5155 2783,042 161,36676
5156 2783,589 161,36674
5157 2784,130 161,36679
5158 2784,663 161,36678
5159 2785,215 161,36671
5160 2785,763 161,36671
5161 2786,308 160,64659
5162 2786,855 160,64659
5163 2787,393 160,64658
5164 2787,927 160,64658
5165 2788,472 160,64659
5166 2789,003 160,64658
5167 2789,531 160,64661
5168 2790,067 160,64665
5169 2790,608 160,64662
5170 2791,146 160,64658
5171 2791,681 160,64662
5172 2792,220 160,64659
5173 2792,758 160,64658
5174 2793,306 160,64661
5175 2793,859 160,64661
5176 2794,396 160,64659
5177 2794,946 160,64661
5178 2795,489 160,64664
5179 2796,023 160,64661
5180 2796,563 160,64658
5181 2797,094 160,64662
5182 2797,629 160,64661
5183 2798,168 160,64661
5184 2798,702 160,64661
5185 2799,248 160,64662
5186 2799,797 159,93285
5187 2800,342 159,93286
5188 2800,886 159,93286
5189 2801,431 159,93285
5190 2801,974 159,93282
5191 2802,528 159,93285
5192 2803,070 159,93285
5193 2803,622 159,93286
5194 2804,168 159,93280
5195 2804,706 159,93280
5196 2805,242 159,93285
5197 2805,788 159,93285
5198 2806,331 159,93285
5199 2806,863 159,93288
5200 2807,400 159,93286
5201 2807,939 159,93286
5202 2808,469 159,93288
5203 2809,011 159,93286
5204 2809,560 159,93286
5205 2810,098 159,93286
5206 2810,631 159,93286
5207 2811,177 159,93286
5208 2811,707 159,93288
5209 2812,238 159,93288
5210 2812,779 159,22552
5211 2813,312 159,22557
5212 2813,846 159,22559
5213 2814,383 159,22560
5214 2814,936 159,22554
5215 2815,476 159,22551
5216 2816,029 159,22554
5217 2816,565 159,22556
5218 2817,104 159,22556
5219 2817,646 159,22554
5220 2818,177 159,22552
5221 2818,705 159,22549
5222 2819,250 159,22549
5223 2819,795 159,22546
5224 2820,342 159,22546
5225 2820,887 159,22549
5226 2821,425 159,22549
5227 2821,956 159,22548
5228 2822,491 159,22546
5229 2823,045 159,22546
5230 2823,582 159,22549
5231 2824,122 159,22549
5232 2824,670 159,20790
5233 2825,205 159,20439
5234 2825,741 158,53081
5235 2826,291 158,52979
5236 2826,832 158,52905
5237 2827,360 158,52843
5238 2827,896 158,52434
5239 2828,428 158,52432
5240 2828,982 158,52435
5241 2829,529 158,52435
5242 2830,062 158,52435
5243 2830,596 158,52438
5244 2831,133 158,52435
5245 2831,683 158,52440
5246 2832,226 158,52437
5247 2832,778 158,52437
5248 2833,324 158,52438
5249 2833,869 158,52440
5250 2834,411 158,52435
5251 2834,948 158,52434
5252 2835,492 158,52435
5253 2836,042 158,52435
5254 2836,579 158,52437
5255 2837,111 158,52434
5256 2837,641 158,52432
5257 2838,178 158,49988
5258 2838,728 157,83269
5259 2839,279 157,83206
5260 2839,818 157,83171
5261 2840,357 157,83142
5262 2840,902 157,82933
5263 2841,464 157,82935
5264 2842,008 157,82933
5265 2842,557 157,82936
5266 2843,097 157,82935
5267 2843,636 157,82936
5268 2844,171 157,82936
5269 2844,708 157,82935
5270 2845,243 157,82933
5271 2845,786 157,82933
5272 2846,318 157,82938
5273 2846,865 157,82936
5274 2847,414 157,82933
5275 2847,961 157,82935
5276 2848,502 157,82935
5277 2849,039 157,82932
5278 2849,577 157,82616
5279 2850,116 157,82576
5280 2850,669 157,82500
5281 2851,216 157,82413
5282 2851,752 157,16093
5283 2852,294 157,14030
5284 2852,841 157,14029
5285 2853,380 157,14027
5286 2853,917 157,14030
5287 2854,462 157,14032
5288 2855,013 157,14032
5289 2855,558 157,14032
5290 2856,094 157,14034
5291 2856,631 157,14034
5292 2857,169 157,14035
5293 2857,704 157,14034
5294 2858,243 157,14037
5295 2858,794 157,14038
5296 2859,328 157,14041
5297 2859,862 157,14041
5298 2860,394 157,14043
5299 2860,925 157,14044
5300 2861,456 157,14041
5301 2861,991 157,14044
5302 2862,531 157,14044
5303 2863,064 157,12970
5304 2863,597 157,12796
5305 2864,129 157,12561
5306 2864,662 156,46944
5307 2865,200 156,46744
5308 2865,738 156,46576
5309 2866,274 156,45752
5310 2866,826 156,45753
5311 2867,372 156,45749
5312 2867,907 156,45747
5313 2868,441 156,45747
5314 2868,969 156,45743
5315 2869,500 156,45744
5316 2870,042 156,45744
5317 2870,584 156,45747
5318 2871,135 156,45746
5319 2871,672 156,45744
5320 2872,212 156,45741
5321 2872,761 156,45741
5322 2873,298 156,45747
5323 2873,831 156,45747
5324 2874,372 156,45746
5325 2874,917 156,45744
5326 2875,456 156,45641
5327 2875,983 156,45628
5328 2876,529 156,45612
5329 2877,073 156,45587
5330 2877,612 155,80571
5331 2878,154 155,78043
5332 2878,696 155,78043
5333 2879,234 155,78041
5334 2879,775 155,78041
5335 2880,318 155,78041
5336 2880,845 155,78041
5337 2881,374 155,78044
5338 2881,906 155,78041
5339 2882,447 155,78041
5340 2882,986 155,78041
5341 2883,516 155,78044
5342 2884,054 155,78044
5343 2884,599 155,78044
5344 2885,141 155,78041
5345 2885,679 155,78043
5346 2886,218 155,78041
5347 2886,760 155,78041
5348 2887,301 155,78041
5349 2887,838 155,78041
5350 2888,381 155,78041
5351 2888,925 155,78041
5352 2889,453 155,76640
5353 2889,987 155,76389
5354 2890,526 155,11830
5355 2891,065 155,11642
5356 2891,601 155,11536
5357 2892,152 155,11456
5358 2892,694 155,10922
5359 2893,250 155,10921
5360 2893,795 155,10921
5361 2894,327 155,10922
5362 2894,873 155,10922
5363 2895,413 155,10922
5364 2895,955 155,10922
5365 2896,497 155,10921
5366 2897,032 155,10922
5367 2897,565 155,10921
5368 2898,095 155,10922
5369 2898,636 155,10921
5370 2899,181 155,10922
5371 2899,727 155,10921
5372 2900,271 155,10916
5373 2900,798 155,10919
5374 2901,341 155,10916
5375 2901,885 155,10272
5376 2902,426 155,10156
5377 2902,955 155,10020
5378 2903,486 155,09827
5379 2904,028 154,45848
5380 2904,575 154,45624
5381 2905,121 154,44366
5382 2905,666 154,44366
5383 2906,209 154,44370
5384 2906,756 154,44370
5385 2907,287 154,44371
5386 2907,832 154,44373
5387 2908,362 154,44374
5388 2908,893 154,44374
5389 2909,431 154,44377
5390 2909,983 154,44377
5391 2910,517 154,44377
5392 2911,047 154,44377
5393 2911,592 154,44379
5394 2912,137 154,44379
5395 2912,674 154,44379
5396 2913,210 154,44380
5397 2913,752 154,44379
5398 2914,286 154,44376
5399 2914,812 154,44377
5400 2915,359 154,44379
5401 2915,900 154,44377
5402 2916,448 154,44377
5403 2916,995 153,78397
5404 2917,540 153,78398
5405 2918,082 153,78400
5406 2918,623 153,78398
5407 2919,165 153,78398
5408 2919,707 153,78398
5409 2920,240 153,78398
5410 2920,784 153,78398
5411 2921,312 153,78401
5412 2921,854 153,78403
5413 2922,391 153,78403
5414 2922,928 153,78401
5415 2923,473 153,78401
5416 2924,003 153,78401
5417 2924,542 153,78398
5418 2925,079 153,78401
5419 2925,616 153,78401
5420 2926,159 153,78401
5421 2926,692 153,78400
5422 2927,231 153,78398
5423 2927,776 153,78401
5424 2928,316 153,78400
5425 2928,844 153,78401
5426 2929,383 153,78400
5427 2929,927 153,12984
5428 2930,454 153,12987
5429 2930,986 153,12987
5430 2931,530 153,12985
5431 2932,072 153,12988
5432 2932,614 153,12990
5433 2933,142 153,12990
5434 2933,673 153,12991
5435 2934,214 153,12990
5436 2934,761 153,12990
5437 2935,297 153,12988
5438 2935,833 153,12988
5439 2936,363 153,12988
5440 2936,891 153,12990
5441 2937,433 153,12990
5442 2937,981 153,12990
5443 2938,525 153,12988
5444 2939,067 153,12991
5445 2939,598 153,12990
5446 2940,128 153,12990
5447 2940,655 153,12990
5448 2941,198 153,12990
5449 2941,743 153,12990
5450 2942,284 153,12988
5451 2942,819 152,48128
5452 2943,359 152,48129
5453 2943,890 152,48128
5454 2944,434 152,48126
5455 2944,980 152,48128
5456 2945,526 152,48123
5457 2946,069 152,48123
5458 2946,613 152,48120
5459 2947,142 152,48122
5460 2947,672 152,48119
5461 2948,213 152,48117
5462 2948,758 152,48117
5463 2949,304 152,48117
5464 2949,848 152,48117
5465 2950,375 152,48117
5466 2950,913 152,48120
5467 2951,458 152,48119
5468 2951,995 152,48117
5469 2952,536 152,48119
5470 2953,076 152,48119
5471 2953,611 152,48120
5472 2954,147 152,48120
5473 2954,693 152,48119
5474 2955,246 152,48117
5475 2955,793 151,83807
5476 2956,337 151,83809
5477 2956,884 151,83810
5478 2957,429 151,83809
5479 2957,981 151,83810
5480 2958,518 151,83813
5481 2959,053 151,83810
5482 2959,603 151,83813
5483 2960,144 151,83813
5484 2960,680 151,83812
5485 2961,225 151,83810
5486 2961,772 151,83810
5487 2962,320 151,83810
5488 2962,862 151,83810
5489 2963,400 151,83801
5490 2963,946 151,83803
5491 2964,486 151,83800
5492 2965,020 151,83795
5493 2965,547 151,83797
5494 2966,091 151,83798
5495 2966,637 151,83801
5496 2967,183 151,83803
5497 2967,727 151,83804
5498 2968,273 151,81497
5499 2968,825 151,20197
5500 2969,363 151,20171
5501 2969,894 151,20151
5502 2970,429 151,20134
5503 2970,976 151,20035
5504 2971,522 151,20036
5505 2972,063 151,20035
5506 2972,598 151,20036
5507 2973,134 151,20036
5508 2973,676 151,20036
5509 2974,214 151,20033
5510 2974,751 151,20033
5511 2975,284 151,20036
5512 2975,813 151,20035
5513 2976,344 151,20036
5514 2976,875 151,20038
5515 2977,416 151,20042
5516 2977,960 151,20042
5517 2978,505 151,20039
5518 2979,051 151,20044
5519 2979,587 151,20041
5520 2980,127 151,20042
5521 2980,658 151,20044
5522 2981,188 151,20045
5523 2981,720 150,56799
5524 2982,260 150,56801
5525 2982,804 150,56801
5526 2983,349 150,56802
5527 2983,892 150,56802
5528 2984,423 150,56804
5529 2984,954 150,56801
5530 2985,495 150,56799
5531 2986,030 150,56799
5532 2986,571 150,56798
5533 2987,120 150,56795
5534 2987,665 150,56798
5535 2988,206 150,56798
5536 2988,750 150,56796
5537 2989,283 150,56802
5538 2989,826 150,56804
5539 2990,359 150,56804
5540 2990,900 150,56802
5541 2991,449 150,56801
5542 2991,990 150,56801
5543 2992,543 150,56709
5544 2993,089 150,56696
5545 2993,628 150,56674
5546 2994,166 150,56653
5547 2994,712 149,96521
5548 2995,258 149,94078
5549 2995,805 149,94078
5550 2996,349 149,94075
5551 2996,881 149,94075
5552 2997,429 149,94075
5553 2997,975 149,94075
5554 2998,529 149,94075
5555 2999,071 149,94077
5556 2999,611 149,94081
5557 3000,149 149,94078
5558 3000,696 149,94080
5559 3001,238 149,94080
5560 3001,769 149,94080
5561 3002,299 149,94080
5562 3002,841 149,94083
5563 3003,379 149,94083
5564 3003,918 149,94083
5565 3004,454 149,94081
5566 3004,986 149,94080
5567 3005,519 149,93813
5568 3006,047 149,93776
5569 3006,591 149,93730
5570 3007,136 149,93666
5571 3007,680 149,93576
5572 3008,228 149,33691
5573 3008,767 149,31894
5574 3009,306 149,31897
5575 3009,855 149,31897
5576 3010,391 149,31897
5577 3010,921 149,31894
5578 3011,460 149,31897
5579 3012,014 149,31892
5580 3012,554 149,31889
5581 3013,098 149,31892
5582 3013,638 149,31894
5583 3014,178 149,31889
5584 3014,716 149,31889
5585 3015,253 149,31886
5586 3015,790 149,31886
5587 3016,337 149,31886
5588 3016,889 149,31886
5589 3017,423 149,31886
5590 3017,960 149,31886
5591 3018,510 149,31883
5592 3019,048 149,31886
5593 3019,584 149,31885
5594 3020,133 149,31886
5595 3020,682 149,31886
5596 3021,228 148,70209
5597 3021,774 148,70209
5598 3022,321 148,70209
5599 3022,866 148,70209
5600 3023,409 148,70204
5601 3023,951 148,70207
5602 3024,486 148,70206
5603 3025,015 148,70206
5604 3025,553 148,70209
5605 3026,098 148,70209
5606 3026,624 148,70210
5607 3027,168 148,70213
5608 3027,714 148,70215
5609 3028,260 148,70213
5610 3028,809 148,70216
5611 3029,351 148,70216
5612 3029,901 148,70213
5613 3030,448 148,70213
5614 3030,989 148,70213
5615 3031,523 148,70218
5616 3032,075 148,70218
5617 3032,609 148,70219
5618 3033,152 148,70218
5619 3033,690 148,70216
5620 3034,228 148,09042
5621 3034,772 148,09042
5622 3035,321 148,09045
5623 3035,864 148,09044
5624 3036,393 148,09044
5625 3036,926 148,09044
5626 3037,459 148,09044
5627 3038,010 148,09047
5628 3038,558 148,09041
5629 3039,098 148,09041
5630 3039,626 148,09044
5631 3040,156 148,09041
5632 3040,698 148,09044
5633 3041,246 148,09044
5634 3041,792 148,09047
5635 3042,339 148,09044
5636 3042,884 148,09045
5637 3043,430 148,09042
5638 3043,977 148,09039
5639 3044,519 148,09041
5640 3045,052 148,09038
5641 3045,583 148,08031
5642 3046,123 148,07857
5643 3046,663 148,07613
5644 3047,215 147,49345
5645 3047,758 147,49191
5646 3048,306 147,49078
5647 3048,846 147,48364
5648 3049,380 147,48360
5649 3049,908 147,48360
5650 3050,442 147,48360
5651 3050,979 147,48363
5652 3051,517 147,48360
5653 3052,052 147,48360
5654 3052,590 147,48364
5655 3053,129 147,48366
5656 3053,660 147,48366
5657 3054,199 147,48369
5658 3054,737 147,48370
5659 3055,267 147,48372
5660 3055,809 147,48372
5661 3056,355 147,48372
5662 3056,900 147,48373
5663 3057,443 147,48372
5664 3057,975 147,48375
5665 3058,522 147,48376
5666 3059,064 147,46992
5667 3059,600 147,46716
5668 3060,140 146,88916
5669 3060,685 146,88800
5670 3061,231 146,88715
5671 3061,774 146,88651
5672 3062,318 146,88191
5673 3062,852 146,88191
5674 3063,393 146,88191
5675 3063,925 146,88188
5676 3064,465 146,88188
5677 3065,004 146,88185
5678 3065,559 146,88187
5679 3066,093 146,88188
5680 3066,629 146,88193
5681 3067,165 146,88191
5682 3067,714 146,88193
5683 3068,260 146,88190
5684 3068,805 146,88190
5685 3069,348 146,88188
5686 3069,875 146,88191
5687 3070,419 146,88191
5688 3070,965 146,88191
5689 3071,507 146,88191
5690 3072,054 146,88190
5691 3072,605 146,88191
5692 3073,154 146,28513
5693 3073,696 146,28514
5694 3074,244 146,28516
5695 3074,793 146,28514
5696 3075,340 146,28513
5697 3075,888 146,28513
5698 3076,428 146,28511
5699 3076,982 146,28506
5700 3077,526 146,28505
5701 3078,076 146,28505
5702 3078,616 146,28503
5703 3079,166 146,28499
5704 3079,718 146,28499
5705 3080,258 146,28497
5706 3080,810 146,28499
5707 3081,346 146,28500
5708 3081,877 146,28505
5709 3082,406 146,28505
5710 3082,941 146,28505
5711 3083,476 146,28508
5712 3084,028 146,28510
5713 3084,564 146,28510
5714 3085,099 146,28508
5715 3085,649 146,28510
5716 3086,189 145,69312
5717 3086,721 145,69312
5718 3087,252 145,69308
5719 3087,782 145,69307
5720 3088,317 145,69305
5721 3088,855 145,69307
5722 3089,399 145,69304
5723 3089,949 145,69305
5724 3090,497 145,69307
5725 3091,042 145,69305
5726 3091,588 145,69307
5727 3092,125 145,69307
5728 3092,659 145,69307
5729 3093,194 145,69304
5730 3093,743 145,69305
5731 3094,288 145,69301
5732 3094,834 145,69301
5733 3095,364 145,69299
5734 3095,892 145,69299
5735 3096,424 145,69304
5736 3096,967 145,69304
5737 3097,505 145,69305
5738 3098,035 145,67709
5739 3098,568 145,67464
5740 3099,110 145,11017
5741 3099,648 145,10942
5742 3100,197 145,10890
5743 3100,747 145,10851
5744 3101,286 145,10576
5745 3101,826 145,10574
5746 3102,361 145,10574
5747 3102,902 145,10573
5748 3103,451 145,10573
5749 3103,994 145,10573
5750 3104,537 145,10573
5751 3105,063 145,10574
5752 3105,598 145,10574
5753 3106,130 145,10573
5754 3106,659 145,10573
5755 3107,193 145,10577
5756 3107,737 145,10579
5757 3108,266 145,10579
5758 3108,809 145,10580
5759 3109,352 145,10577
5760 3109,900 145,10582
5761 3110,437 145,10582
5762 3110,969 145,10582
5763 3111,506 145,08754
5764 3112,042 144,52779
5765 3112,583 144,52699
5766 3113,114 144,52644
5767 3113,642 144,52603
5768 3114,186 144,52324
5769 3114,732 144,52321
5770 3115,276 144,52321
5771 3115,821 144,52322
5772 3116,372 144,52322
5773 3116,915 144,52324
5774 3117,466 144,52325
5775 3118,014 144,52324
5776 3118,560 144,52324
5777 3119,105 144,52321
5778 3119,651 144,52319
5779 3120,201 144,52318
5780 3120,742 144,52318
5781 3121,287 144,52318
5782 3121,812 144,52321
5783 3122,348 144,52318
5784 3122,890 144,52319
5785 3123,425 144,52319
5786 3123,956 144,52321
5787 3124,496 144,52321
5788 3125,034 143,94534
5789 3125,571 143,94534
5790 3126,114 143,94534
5791 3126,643 143,94533
5792 3127,177 143,94533
5793 3127,709 143,94531
5794 3128,235 143,94534
5795 3128,778 143,94531
5796 3129,320 143,94531
5797 3129,863 143,94534
5798 3130,394 143,94531
5799 3130,935 143,94534
5800 3131,477 143,94537
5801 3132,017 143,94539
5802 3132,546 143,94545
5803 3133,091 143,94542
5804 3133,632 143,94545
5805 3134,174 143,94545
5806 3134,717 143,94540
5807 3135,260 143,94542
5808 3135,806 143,94540
5809 3136,347 143,94542
5810 3136,878 143,94540
5811 3137,414 143,94539
5812 3137,956 143,37209
5813 3138,493 143,37209
5814 3139,036 143,37209
5815 3139,574 143,37209
5816 3140,114 143,37209
5817 3140,644 143,37206
5818 3141,171 143,37209
5819 3141,715 143,37207
5820 3142,256 143,37209
5821 3142,797 143,37209
5822 3143,339 143,37207
5823 3143,880 143,37206
5824 3144,435 143,37207
5825 3144,981 143,37206
5826 3145,527 143,37206
5827 3146,072 143,37206
5828 3146,616 143,37207
5829 3147,163 143,37207
5830 3147,713 143,37207
5831 3148,258 143,37207
5832 3148,798 143,37207
5833 3149,334 143,36627
5834 3149,880 143,36534
5835 3150,416 143,36440
5836 3150,954 143,36275
5837 3151,491 142,81596
5838 3152,034 142,81404
5839 3152,564 142,80333
5840 3153,096 142,80333
5841 3153,628 142,80333
5842 3154,158 142,80333
5843 3154,688 142,80338
5844 3155,232 142,80333
5845 3155,779 142,80336
